timestamp,track_id,class_name,x1,y1,x2,y2,speed,direction
1748782706.416812,1,person,3,351,420,720,0.00,0.0
1748782706.416812,2,person,644,345,814,720,0.00,0.0
1748782706.416812,3,person,934,368,1067,720,0.00,0.0
1748782706.416812,4,person,187,339,378,573,0.00,0.0
1748782706.416812,5,person,519,359,576,512,0.00,0.0
1748782706.416812,6,person,337,359,425,591,0.00,0.0
1748782706.416812,7,person,1024,360,1094,586,0.00,0.0
1748782706.416812,8,person,1108,361,1279,720,0.00,0.0
1748782706.416812,9,person,578,370,628,507,0.00,0.0
1748782706.416812,10,person,296,352,382,574,0.00,0.0
1748782706.416812,11,person,432,370,520,647,0.00,0.0
1748782706.489416,1,person,2,354,418,720,6.36,135.0
1748782706.489416,2,person,644,355,810,720,16.16,111.8
1748782706.489416,3,person,928,364,1063,720,16.16,-158.2
1748782706.489416,4,person,173,340,397,615,64.93,83.4
1748782706.489416,5,person,520,362,575,509,0.00,0.0
1748782706.489416,6,person,334,359,426,603,18.25,99.5
1748782706.489416,7,person,1024,356,1095,584,9.12,-80.5
1748782706.489416,8,person,1108,330,1280,720,46.52,-88.2
1748782706.489416,9,person,578,369,627,505,4.74,-108.4
1748782706.489416,11,person,425,357,520,656,12.09,-150.3
1748782706.5508149,1,person,0,359,401,720,29.47,165.3
1748782706.5508149,2,person,642,354,808,720,6.18,-166.0
1748782706.5508149,3,person,922,365,1057,720,18.06,175.2
1748782706.5508149,4,person,161,337,383,609,41.27,-160.9
1748782706.5508149,5,person,520,363,575,509,1.50,90.0
1748782706.5508149,6,person,332,360,423,603,7.65,168.7
1748782706.5508149,7,person,1024,357,1097,591,12.37,76.0
1748782706.5508149,8,person,1112,333,1280,720,7.50,36.9
1748782706.5508149,9,person,578,370,627,506,3.00,90.0
1748782706.5508149,11,person,419,355,520,671,21.48,114.8
1748782706.5508149,10,person,279,350,372,591,0.00,0.0
1748782706.612175,1,person,0,348,398,720,17.10,-105.3
1748782706.612175,2,person,637,346,806,720,15.95,-131.2
1748782706.612175,3,person,915,372,1048,720,26.20,156.4
1748782706.612175,4,person,146,338,377,623,38.71,144.5
1748782706.612175,5,person,519,366,573,511,8.75,121.0
1748782706.612175,6,person,329,360,420,600,10.06,-153.4
1748782706.612175,7,person,1027,358,1101,594,12.09,29.7
1748782706.612175,8,person,1123,335,1280,720,16.77,10.3
1748782706.612175,9,person,577,369,626,506,3.35,-153.4
1748782706.612175,11,person,416,357,518,674,10.61,135.0
1748782706.6848462,1,person,0,339,380,719,30.89,-150.9
1748782706.6848462,2,person,632,343,803,720,12.82,-159.4
1748782706.6848462,3,person,906,370,1040,720,25.68,-173.3
1748782706.6848462,4,person,123,332,368,637,49.48,166.0
1748782706.6848462,5,person,519,367,571,506,6.71,-116.6
1748782706.6848462,6,person,321,360,414,608,24.19,150.3
1748782706.6848462,7,person,1034,359,1110,600,26.20,23.6
1748782706.6848462,9,person,576,369,624,502,7.50,-126.9
1748782706.6848462,11,person,406,351,511,676,26.20,-166.8
1748782706.6848462,12,person,1185,350,1280,528,0.00,0.0
1748782706.75088,1,person,0,355,352,718,47.65,151.8
1748782706.75088,2,person,629,342,799,719,10.92,-164.1
1748782706.75088,3,person,899,372,1033,720,21.21,171.9
